"name","group","element","units","context","S433410","S433411","S433412","S433413","S433414","S433415","S433416","S433417","S433418","S433419","S433420","S433421","S433422","S433423","S433424","S433425","S433426","S433427","S433428","S433429","S433430","S433431","S433432","S433433","S433434","S433435","S433436","S433437","S433438","S433439","S433440","S433441","S433442","S433443","S433444","S433445","S433446","S433447","S433448","S433449","S433450","S433451","S433452","S433453","S433454","S433455","S433456","S433457","S433458","S433459","S433460","S433461","S433462","S433463","S433464","S433465","S433466","S433467","S433468","S433469","S433470","S433471","S433472","S433473","S433474","S433475","S433476","S433477","S433478","S433479","S433480","S433481","S433482","S433483","S433484","S433485","S433486","S433487","S433488","S433489","S433490","S433491","S433492","S433493","S433494","S433495","S433496","S433497","S433498","S433499","S433500","S433501","S433502","S433503","S433504","S433505","S433506","S433507","S433508","S433509","S433510","S433511","S433512","S433513","S433514","S433515","S433516","S433517","S433518","S433519","S433520","S433521","S433522","S433523","S433524","S433525","S433526","S433527","S433528","S433529","S433530","S433531","S433532","S433533","S433534","S433535","S433536","S433537","S433538","S433539","S433540","S433541","S433542","S433543","S433544","S433545","S433546","S433547","S433548","S433549","S433550","S433551","S433552","S433553","S433554","S433555","S433556","S433557","S433558","S433559","S433560","S433561","S433562","S433563","S433564","S433565","S433566","S433567","S433568","S433569","S433570","S433571","S433572","S433573","S433574","S433575","S433576","S433577","S433578","S433579","S433580","S433581","S433582","S433583","S433584","S433585","S433586","S433587","S433588","S433589","S433590","S433591","S433592","S433593","S433594","S433595","S433596","S433597","S433598","S433599","S433600","S433601","S433602","S433603","S433604","S433605","S433606","S433607","S433608","S433609","S433610","S433611","S433612","S433613","S433614","S433615","S433616","S433617","S433618","S433619","S433620","S433621","S433622","S433623","S433624","S433625","S433626","S433627","S433628","S433629","S433630","S433631","S433632","S433633","S433634","S433635","S433636","S433637","S433638","S433639","S433640","S433641","S433642","S433643","S433644","S433645","S433646","S433647","S433648","S433649","S433650","S433651","S433652","S433653","S433654","S433655","S433656","S433657","S433658","S433659","S433660","S433661","S433662","S433663","S433664","S433665","S433666","S433667","S433668","S433669","S433670","S433671","S433672","S433673","S433674","S433675","S433676","S433677","S433678","S433679","S433680","S433681","S433682","S433683","S433684","S433685","S433686","S433687","S433688","S433689","S433690","S433691","S433692","S433693","S433694","S433695","S433696","S433697","S433698","S433699","S433700","S433701","S433702","S433703","S433704","S433705","S433706","S433707","S433708","S433709","S433710","S433711","S433712","S433713","S433714","S433715","S433716","S433717","S433718","S433719","S433720","S433721","S433722","S433723","S433724","S433725","S433726","S433727","S433728","S433729","S433730","S433731","S433732","S433733","S433734","S433735","S433736","S433737","S433738","S433739","S433740","S433741","S433742","S433743","S433744","S433745","S433746","S433747","S433748","S433749","S433750","S433751","S433752","S433753","S433754","S433755","S433756","S433757","S433758","S433759","S433760","S433761","S433762","S433763","S433764","S433765","S433766","S433767","S433768","S433769","S433770","S433771","S433772","S433773","S433774","S433775","S433776","S433777","S433778","S433779","S433780","S433781","S433782","S433783","S433784","S433785","S433786","S433787","S433788","S433789","S433790","S433791","S433792","S433793","S433794","S433795","S433796","S433797","S433798","S433799","S433800","S433801","S433802","S433803","S433804","S433805","S433806","S433807","S433808","S433809","S433810","S433811","S433812","S433813","S433814","S433815","S433816","S433817","S433818","S433819","S433820","S433821","S433822","S433823","S433824","S433825","S433826","S433827","S433828","S433829","S433830","S433831","S433832","S433833","S433834"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1478.5,1479.5,1480.5,1481.5,1482.5,1483.5,1484.5,1489.75,1490.75,1491.25,1491.75,1492.25,1492.75,1493.25,1493.75,1494.25,1494.75,1495.25,1495.75,1496.25,1496.75,1497.25,1497.75,1498.25,1498.75,1499.25,1499.75,1501.25,1501.75,1502.25,1502.75,1503.25,1503.75,1504.25,1504.75,1505.25,1505.75,1506.25,1506.75,1507.25,1507.75,1508.25,1508.75,1509.25,1509.75,1510.25,1510.75,1511.25,1511.75,1512.25,1512.75,1513.25,1513.75,1514.25,1514.75,1515.25,1515.75,1516.25,1516.75,1517.25,1517.75,1518.25,1518.75,1519.25,1519.75,1520.25,1520.75,1521.25,1521.75,1522.25,1522.75,1523.25,1523.75,1524.25,1524.75,1525.25,1525.75,1526.25,1526.75,1527.25,1527.75,1528.25,1528.75,1529.25,1529.75,1530.25,1530.75,1531.25,1531.75,1532.25,1532.75,1533.25,1533.75,1534.25,1534.75,1535.25,1535.75,1536.25,1536.75,1537.25,1537.75,1538.25,1538.75,1539.25,1539.75,1540.25,1540.75,1541.25,1541.75,1542.25,1542.75,1543.25,1543.75,1544.25,1544.75,1545.25,1545.75,1546.25,1546.75,1547.25,1547.75,1548.25,1548.75,1549.25,1549.75,1550.25,1550.75,1551.25,1551.75,1552.25,1552.75,1553.25,1553.75,1554.25,1554.75,1555.25,1555.75,1556.25,1556.75,1557.25,1557.75,1558.25,1558.75,1559.25,1559.75,1560.25,1560.75,1561.25,1561.75,1562.25,1562.75,1563.25,1563.75,1564.25,1564.75,1565.25,1565.75,1566.25,1566.75,1567.25,1567.75,1568.25,1568.75,1569.25,1569.75,1570.25,1570.75,1571.25,1571.75,1572.25,1572.75,1573.25,1573.75,1574.25,1574.75,1575.25,1575.75,1576.25,1576.75,1577.25,1577.75,1578.25,1578.75,1579.25,1579.75,1580.25,1580.75,1581.25,1581.75,1582.25,1582.75,1583.25,1583.75,1584.25,1584.75,1585.25,1585.75,1586.25,1586.75,1587.25,1587.75,1588.25,1588.75,1589.25,1589.75,1590.25,1590.75,1591.25,1591.75,1592.25,1592.75,1593.25,1593.75,1594.25,1594.75,1595.25,1595.75,1596.25,1596.75,1597.25,1597.75,1598.25,1598.75,1599.25,1599.75,1600.25,1600.75,1601.25,1601.75,1602.25,1602.75,1603.25,1603.75,1604.25,1604.75,1605.25,1605.75,1606.25,1606.75,1607.25,1607.75,1608.25,1608.75,1609.25,1609.75,1610.25,1610.75,1611.25,1611.75,1612.25,1612.75,1613.25,1613.75,1614.25,1614.75,1615.25,1615.75,1616.25,1616.75,1617.25,1617.75,1618.25,1618.75,1619.25,1619.75,1620.25,1620.75,1621.25,1621.75,1622.25,1622.75,1623.25,1623.75,1624.25,1624.75,1625.25,1625.75,1626.25,1626.75,1627.25,1627.75,1628.25,1628.75,1629.25,1629.75,1630.25,1630.75,1631.25,1631.639,1632.028,1632.417,1632.806,1633.195,1633.584,1633.973,1634.362,1634.751,1635.14,1635.529,1635.918,1636.307,1636.696,1637.085,1637.474,1637.863,1638.252,1639.25,1639.75,1640.25,1640.75,1641.25,1641.75,1642.25,1642.75,1643.25,1643.75,1644.25,1644.75,1645.25,1645.75,1646.25,1646.75,1647.25,1647.75,1648.25,1648.75,1649.25,1649.75,1650.25,1650.75,1651.25,1651.75,1652.25,1652.75,1653.25,1653.75,1654.25,1654.75,1655.25,1655.75,1656.25,1656.75,1657.25,1657.75,1658.25,1658.75,1659.25,1659.75,1660.25,1660.75,1661.25,1661.75,1662.25,1662.75,1663.25,1663.75,1664.25,1664.75,1665.25,1665.75,1666.25,1666.75,1667.25,1667.75,1668.25,1668.75,1669.25,1669.75,1670.25,1670.75,1671.25,1671.75,1672.25,1672.75,1673.25,1673.75,1674.25,1674.75,1675.25,1675.75,1676.25,1676.75,1677.25,1677.75,1678.25,1678.75,1679.25,1679.75,1680.25,1680.75,1681.25,1681.75,1682.25,1682.75,1683.25,1683.75,1684.25,1684.75,1685.25,1685.75,1686.25,1686.75,1687.25,1687.75,1688.25,1688.75,1689.25,1689.75,1690.25,1690.75,1691.25,1691.75,1692.25,1692.75,1693.25,1693.75,1694.25,1694.75,1695.25,1695.75,1696.25,1696.75,1697.25,1697.75,1698.25
Thickness,,,,,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,433410,433411,433412,433413,433414,433415,433416,433417,433418,433419,433420,433421,433422,433423,433424,433425,433426,433427,433428,433429,433430,433431,433432,433433,433434,433435,433436,433437,433438,433439,433440,433441,433442,433443,433444,433445,433446,433447,433448,433449,433450,433451,433452,433453,433454,433455,433456,433457,433458,433459,433460,433461,433462,433463,433464,433465,433466,433467,433468,433469,433470,433471,433472,433473,433474,433475,433476,433477,433478,433479,433480,433481,433482,433483,433484,433485,433486,433487,433488,433489,433490,433491,433492,433493,433494,433495,433496,433497,433498,433499,433500,433501,433502,433503,433504,433505,433506,433507,433508,433509,433510,433511,433512,433513,433514,433515,433516,433517,433518,433519,433520,433521,433522,433523,433524,433525,433526,433527,433528,433529,433530,433531,433532,433533,433534,433535,433536,433537,433538,433539,433540,433541,433542,433543,433544,433545,433546,433547,433548,433549,433550,433551,433552,433553,433554,433555,433556,433557,433558,433559,433560,433561,433562,433563,433564,433565,433566,433567,433568,433569,433570,433571,433572,433573,433574,433575,433576,433577,433578,433579,433580,433581,433582,433583,433584,433585,433586,433587,433588,433589,433590,433591,433592,433593,433594,433595,433596,433597,433598,433599,433600,433601,433602,433603,433604,433605,433606,433607,433608,433609,433610,433611,433612,433613,433614,433615,433616,433617,433618,433619,433620,433621,433622,433623,433624,433625,433626,433627,433628,433629,433630,433631,433632,433633,433634,433635,433636,433637,433638,433639,433640,433641,433642,433643,433644,433645,433646,433647,433648,433649,433650,433651,433652,433653,433654,433655,433656,433657,433658,433659,433660,433661,433662,433663,433664,433665,433666,433667,433668,433669,433670,433671,433672,433673,433674,433675,433676,433677,433678,433679,433680,433681,433682,433683,433684,433685,433686,433687,433688,433689,433690,433691,433692,433693,433694,433695,433696,433697,433698,433699,433700,433701,433702,433703,433704,433705,433706,433707,433708,433709,433710,433711,433712,433713,433714,433715,433716,433717,433718,433719,433720,433721,433722,433723,433724,433725,433726,433727,433728,433729,433730,433731,433732,433733,433734,433735,433736,433737,433738,433739,433740,433741,433742,433743,433744,433745,433746,433747,433748,433749,433750,433751,433752,433753,433754,433755,433756,433757,433758,433759,433760,433761,433762,433763,433764,433765,433766,433767,433768,433769,433770,433771,433772,433773,433774,433775,433776,433777,433778,433779,433780,433781,433782,433783,433784,433785,433786,433787,433788,433789,433790,433791,433792,433793,433794,433795,433796,433797,433798,433799,433800,433801,433802,433803,433804,433805,433806,433807,433808,433809,433810,433811,433812,433813,433814,433815,433816,433817,433818,433819,433820,433821,433822,433823,433824,433825,433826,433827,433828,433829,433830,433831,433832,433833,433834
Updated Carter et al. 2018,Calibrated radiocarbon years BP,,,,-55/-56/-58,-38/-41/-43,-22/-25/-28,-4/-9/-13,13/7/1,36/30/24,71/60/50,288/221/162,349/253/172,381/269/175,414/285/179,447/300/183,481/316/187,500/333/201,507/349/223,514/366/243,521/383/259,529/399/271,539/416/286,549/433/299,562/449/308,577/466/320,599/483/328,612/502/357,617/524/405,624/545/451,632/567/491,707/632/557,756/654/565,805/675/571,854/697/577,896/721/593,932/746/611,972/772/628,1016/798/638,1066/824/648,1124/849/659,1182/875/669,1242/901/675,1305/927/680,1371/953/686,1410/978/706,1427/1005/729,1443/1031/750,1461/1057/765,1486/1083/777,1509/1109/790,1541/1136/802,1571/1162/814,1615/1188/826,1652/1214/837,1683/1242/861,1701/1270/891,1719/1299/921,1740/1328/946,1768/1357/968,1799/1386/988,1834/1415/1001,1865/1444/1014,1901/1473/1027,1947/1501/1043,1976/1529/1070,1992/1555/1104,2006/1581/1134,2021/1607/1165,2042/1634/1198,2066/1660/1223,2092/1686/1249,2123/1712/1265,2150/1738/1287,2189/1764/1303,2220/1790/1335,2234/1815/1376,2252/1839/1403,2270/1864/1437,2283/1889/1462,2303/1914/1486,2320/1939/1514,2345/1964/1537,2372/1989/1561,2406/2013/1580,2427/2039/1606,2437/2064/1646,2446/2089/1684,2460/2115/1725,2479/2140/1759,2497/2166/1781,2516/2191/1795,2534/2217/1813,2560/2242/1827,2593/2267/1845,2611/2294/1884,2617/2322/1953,2624/2350/2013,2633/2378/2076,2644/2406/2138,2651/2434/2193,2659/2462/2238,2669/2490/2274,2685/2518/2307,2702/2546/2331,2720/2575/2381,2730/2607/2441,2750/2638/2483,2808/2669/2508,2869/2700/2526,2933/2732/2538,3008/2763/2550,3083/2794/2563,3159/2826/2573,3241/2857/2582,3294/2888/2604,3319/2918/2631,3348/2948/2649,3377/2979/2665,3410/3009/2676,3446/3039/2689,3491/3070/2703,3546/3100/2718,3602/3131/2731,3654/3161/2743,3691/3190/2767,3709/3219/2801,3725/3247/2831,3750/3276/2857,3769/3304/2876,3797/3333/2896,3821/3361/2919,3858/3390/2935,3897/3418/2949,3936/3446/2966,3959/3475/2994,3973/3504/3043,3994/3533/3075,4018/3563/3107,4042/3592/3136,4072/3621/3165,4097/3650/3192,4133/3679/3209,4166/3708/3222,4202/3737/3238,4230/3765/3278,4245/3793/3318,4262/3821/3360,4277/3848/3392,4293/3876/3420,4313/3903/3448,4334/3931/3474,4356/3958/3494,4386/3986/3512,4420/4014/3533,4446/4041/3570,4460/4069/3620,4480/4097/3668,4496/4125/3714,4517/4153/3753,4534/4181/3793,4550/4209/3833,4576/4237/3861,4607/4265/3891,4639/4293/3916,4664/4323/3965,4679/4356/4038,4695/4388/4109,4712/4420/4185,4731/4452/4249,4751/4485/4314,4768/4517/4373,4792/4549/4421,4832/4581/4444,4877/4613/4454,4916/4647/4478,4953/4681/4506,4991/4716/4526,5030/4751/4542,5077/4785/4555,5137/4820/4567,5200/4855/4579,5264/4889/4588,5342/4924/4599,5420/4958/4610,5472/4993/4635,5491/5028/4677,5509/5062/4698,5536/5097/4723,5569/5132/4741,5614/5167/4762,5659/5201/4782,5705/5236/4798,5758/5271/4815,5825/5305/4832,5861/5339/4869,5876/5373/4908,5893/5406/4952,5912/5439/4980,5933/5473/5008,5962/5506/5028,5993/5539/5046,6026/5573/5067,6060/5606/5082,6109/5639/5106,6143/5674/5149,6158/5709/5207,6174/5744/5258,6195/5779/5300,6213/5814/5340,6235/5849/5371,6262/5884/5401,6288/5920/5428,6316/5955/5454,6358/5990/5482,6386/6026/5534,6397/6063/5614,6407/6100/5696,6422/6138/5775,6436/6175/5851,6449/6212/5916,6467/6249/5983,6492/6287/6046,6521/6324/6095,6555/6361/6135,6581/6394/6190,6593/6423/6252,6610/6452/6297,6628/6480/6332,6656/6509/6362,6699/6538/6383,6750/6567/6402,6820/6596/6416,6892/6624/6429,6963/6653/6441,7008/6679/6458,7026/6703/6478,7039/6727/6499,7058/6751/6515,7078/6775/6527,7106/6799/6543,7135/6823/6556,7170/6847/6569,7211/6871/6579,7255/6894/6589,7283/6918/6612,7299/6942/6633,7316/6966/6654,7331/6990/6675,7356/7013/6692,7382/7037/6705,7404/7061/6718,7435/7084/6730,7467/7108/6739,7495/7132/6749,7522/7156/6772,7532/7179/6810,7544/7202/6847,7560/7226/6868,7578/7249/6888,7596/7272/6905,7616/7296/6925,7641/7319/6944,7665/7342/6957,7692/7366/6972,7711/7389/6999,7724/7413/7039,7734/7436/7066,7745/7460/7093,7751/7483/7128,7765/7507/7151,7782/7531/7180,7799/7554/7205,7818/7578/7225,7844/7601/7241,7862/7626/7275,7869/7651/7332,7874/7676/7392,7883/7701/7451,7892/7726/7500,7899/7750/7556,7910/7775/7602,7920/7800/7647,7935/7825/7686,7950/7850/7713,7969/7874/7737,7989/7896/7764,8015/7918/7791,8042/7940/7812,8070/7961/7829,8104/7983/7846,8139/8005/7857,8171/8022/7867,8202/8039/7872,8234/8056/7881,8264/8073/7886,8283/8092/7906,8289/8111/7941,8294/8131/7975,8300/8150/8006,8306/8170/8037,8314/8190/8068,8323/8209/8093,8334/8229/8120,8347/8249/8146,8364/8268/8168,8385/8288/8184,8413/8307/8195,8447/8327/8205,8475/8350/8221,8551/8412/8265,8597/8443/8283,8652/8474/8297,8709/8505/8308,8772/8536/8320,8836/8567/8329,8899/8598/8337,8961/8629/8351,9001/8660/8377,9014/8690/8424,9028/8721/8456,9046/8751/8484,9065/8782/8508,9088/8813/8530,9120/8843/8556,9150/8874/8572,9179/8904/8588,9218/8935/8604,9246/8969/8652,9265/9008/8734,9285/9046/8808,9310/9085/8885,9341/9123/8949,9374/9161/9002,9412/9200/9037,9463/9238/9059,9525/9277/9077,9601/9315/9091,9649/9352/9119,9673/9386/9154,9705/9421/9178,9738/9456/9201,9785/9491/9223,9833/9525/9239,9891/9560/9255,9951/9595/9267,10013/9630/9283,10080/9664/9299,10129/9699/9325,10148/9734/9371,10174/9768/9410,10199/9803/9447,10218/9837/9472,10241/9872/9498,10270/9906/9519,10306/9941/9538,10351/9975/9558,10387/10010/9575,10418/10044/9621,10429/10077/9686,10440/10110/9747,10451/10143/9815,10464/10176/9878,10478/10209/9937,10497/10242/9993,10520/10275/10046,10543/10308/10083,10576/10341/10117,10601/10367/10153,10614/10384/10189,10627/10402/10218,10643/10420/10240,10656/10438/10259,10672/10456/10268,10694/10473/10278,10720/10491/10289,10746/10509/10295,10780/10527/10305,10803/10543/10316,10813/10557/10330,10820/10571/10342,10831/10585/10352,10839/10599/10363,10852/10614/10376,10868/10628/10385,10886/10642/10393,10903/10656/10400,10923/10671/10409,10941/10685/10428,10946/10698/10448,10955/10712/10463,10963/10726/10478,10972/10740/10489,10981/10754/10504,10994/10767/10516,11007/10781/10528,11021/10795/10536,11039/10809/10546,11052/10823/10566,11058/10838/10589,11067/10852/10614,11075/10867/10633,11082/10881/10652,11090/10896/10667,11101/10910/10678,11111/10925/10691,11127/10939/10701,11142/10954/10712,11157/10971/10730,11166/10990/10758,11174/11009/10780,11187/11028/10797,11204/11047/10813,11228/11067/10827,11266/11086/10837,11308/11105/10849,11355/11124/10860,11403/11143/10870,11434/11165/10885,11462/11190/10908,11501/11215/10926,11537/11240/10941,11592/11265/10961,11647/11289/10971,11711/11314/10983,11772/11339/10993,11837/11364/11006,11909/11388/11014,11954/11414/11027
Carter et al. 2018,Calibrated radiocarbon years BP,,,,--/-58/--,--/-46/--,--/-31/--,--/-14/--,--/5/--,--/27/--,--/51/--,,,--/215/--,,--/255/--,,--/297/--,,--/339/--,,--/379/--,,--/415/--,,--/451/--,,--/489/--,,--/531/--,,--/628/--,,--/684/--,,--/742/--,,--/802/--,,--/860/--,,--/918/--,,--/975/--,,--/1032/--,,--/1087/--,,--/1140/--,,--/1191/--,,--/1240/--,,--/1290/--,,--/1341/--,,--/1395/--,,--/1452/--,,--/1511/--,,--/1570/--,,--/1629/--,,--/1686/--,,--/1740/--,,--/1793/--,,--/1844/--,,--/1895/--,,--/1946/--,,--/1997/--,,--/2049/--,,--/2100/--,,,,--/2200/--,,--/2249/--,,--/2298/--,,,,--/2393/--,,,,--/2487/--,,,,--/2582/--,,--/2631/--,,--/2683/--,,,,--/2792/--,,,,--/2906/--,,,,--/3020/--,,,,--/3133/--,,,,--/3245/--,,,,--/3355/--,,,,--/3466/--,,,,--/3580/--,,,,--/3697/--,,,,--/3813/--,,--/3871/--,,--/3928/--,,,,--/4043/--,,,,--/4160/--,,,,--/4281/--,,,,--/4408/--,,--/4473/--,,--/4540/--,,,,--/4678/--,,,,--/4816/--,,,,--/4956/--,,--/5028/--,,--/5101/--,,--/5176/--,,,--/5252/--,--/5329/--,,--/5405/--,,--/5480/--,,--/5555/--,,--/5700/--,,,,--/5771/--,,--/5841/--,,--/5911/--,,,--/5979/--,,--/6046/--,--/6113/--,,--/6179/--,,--/6245/--,,,,--/6374/--,,,,--/6500/--,,--/6563/--,,--/6624/--,,--/6684/--,,--/6741/--,,--/6796/--,,--/6849/--,,--/6900/--,,--/6950/--,,--/6998/--,,--/7046/--,,--/7095/--,,--/7143/--,,--/7192/--,,--/7243/--,,--/7295/--,,--/7350/--,,--/7405/--,,--/7461/--,,--/7516/--,,--/7571/--,,--/7624/--,,--/7677/--,,--/7729/--,,--/7780/--,,--/7831/--,,--/7883/--,,--/7934/--,,,--/7985/--,--/8034/--,,--/8081/--,,--/8055/--,,--/8092/--,,--/8129/--,,--/8162/--,,--/8194/--,,--/8226/--,,--/8257/--,,--/8289/--,,--/8321/--,,--/8359/--,--/8427/--,,--/8472/--,,--/8523/--,,--/8581/--,,--/8643/--,,--/8708/--,,--/8772/--,,--/8837/--,,--/8901/--,,--/8967/--,,--/9032/--,,--/9096/--,,--/9159/--,,--/9223/--,,--/9287/--,,--/9352/--,,--/9419/--,,--/9488/--,,--/9557/--,,--/9628/--,,--/9699/--,,--/9771/--,,--/9844/--,,--/9916/--,,--/9989/--,,--/10061/--,,--/10133/--,,--/10205/--,,--/10275/--,,--/10344/--,,--/10410/--,,--/10473/--,,--/10534/--,,--/10592/--,,--/10644/--,,--/10691/--,,--/10733/--,,--/10770/--,,--/10802/--,,--/10829/--,,--/10855/--,,--/10881/--,,--/10908/--,,--/10935/--,,--/10961/--,,--/10988/--,,--/11014/--,,--/11041/--,,--/11067/--,,--/11094/--,,--/11120/--,,--/11147/--,,--/11174/--,,--/11200/--,,--/11227/--,,--/11254/--,,--/11280/--,,--/11307/--,,--/11334/--,,--/11361/--
Charcoal,CHAR,>180 µm,number,,0,2,1,0,0,1,2,3,0,1,1,5,3,1,6,2,0,2,2,0,3,3,0,0,0,0,0,7,1,1,4,0,2,0,5,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,2,1,1,0,2,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,2,0,1,4,1,0,0,1,0,2,5,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,2,8,2,2,0,0,0,0,1,0,0,4,3,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,4,4,1,0,15,11,18,0,2,0,15,0,4,1,3,1,6,3,11,1,1,0,2.5,13,7.25,0,0.8,1,3.75,14,4.5,15,0.8,5,5.75,0,0,1,0,1,2,0,5,2,0,1,5,9,4,6,2,5,1,2,1,7,9,0,1,10,10,12,9,12,13,10,10,10,194,8,16,9,7,9,22,7,17,4,1,1,2,12,1,2,3,1,0,0,1,0,5,8,11,2,6,6,12,8,2,3,2,0,16,8,3,1,4,0,1,3,2,9,15,6,2,46,0,0,2,11,4,5,0,11,2,1,6,3,14,2,6,7,1,6,9,0,3,7,2,2,2,6,2,9,2,4,4,4,2,1,13,1,1,4,5,1,4,0,2,3,0,0,0,0,3,0,1,1,0,1,3,2,3,1,0,1,0,0,0,7,0,0,0,1,0,0,2,0,0,0,1,0,1,2,0,1
