"name","group","element","units","context","S434050","S434051","S434052","S434053","S434054","S434055","S434056","S434057","S434058","S434059","S434060","S434061","S434062","S434063","S434064","S434065","S434066","S434067","S434068","S434069","S434070","S434071","S434072","S434073","S434074","S434075","S434076","S434077","S434078","S434079","S434080","S434081","S434082","S434083","S434084","S434085","S434086","S434087","S434088","S434089","S434090","S434091","S434092","S434093","S434094","S434095","S434096","S434097","S434098","S434099","S434100","S434101","S434102","S434103","S434104","S434105","S434106","S434107","S434108","S434109","S434110","S434111","S434112","S434113","S434114","S434115","S434116","S434117","S434118","S434119","S434120","S434121","S434122","S434123","S434124"
Charcoal,CHAR,>1 mm,number,,1,3,,1,1,,1,1,2,1,,2,,2,,,,,,1,,1,,,,,,,,,,,,,,1,1,,3,,,,,3,,,3,1,1,2,1,1,1,2,,7,,,,1,6,,3,9,1,7,,,,1,11,,3,,
Charcoal,CHAR,>2 mm,number,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,3,,,,,,,,5,,,,,,
Coniferae,TRSH,needle,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coniferae,TRSH,bud,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Cristatella mucedo,BRYZ,statoblast,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,0.5,2,,1,1,,,,,,,,1,2,,1,,1,4,,,,1,,,,,,,
Eriophorum,AQVP,node,NISP,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus sylvatica,TRSH,bud scale,NISP,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoëtes,AQVP,megaspore,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.3,,,,,,8,,,,14,6,28,2,,1,2,4,,3,,1.5,1,,,,,,,,,,6,,6,,
Isoëtes echinospora,AQVP,megaspore,NISP,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,4,,,,4,9,4,,2,2,,,,,2,1,,,,,,,,,,,7.5,5,8,,
Isoëtes lacustris,AQVP,megaspore,NISP,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,8,,,1,14,28,12,,,,1,5,8,,,1,,,1,,,,,2,1.5,,2.5,,,,
