"name","group","element","units","context","S433245","S433246","S433247","S433248","S433249","S433250","S433251","S433252","S433253","S433254","S433255","S433256","S433257","S433258","S433259","S433260","S433261","S433262","S433263","S433264","S433265","S433266","S433267","S433268","S433269","S433270","S433271","S433272","S433273","S433274","S433275","S433276","S433277","S433278","S433279","S433280","S433281","S433282","S433283","S433284","S433285","S433286","S433287","S433288","S433289","S433290","S433291","S433292","S433293","S433294","S433295","S433296","S433297","S433298","S433299","S433300","S433301","S433302","S433303","S433304","S433305","S433306","S433307","S433308","S433309","S433310","S433311","S433312","S433313","S433314","S433315","S433316","S433317","S433318","S433319","S433320","S433321","S433322","S433323","S433324","S433325","S433326","S433327","S433328","S433329","S433330","S433331","S433332","S433333","S433334","S433335","S433336","S433337","S433338","S433339","S433340","S433341","S433342","S433343","S433344","S433345","S433346","S433347","S433348","S433349","S433350","S433351","S433352","S433353","S433354","S433355","S433356","S433357","S433358","S433359","S433360","S433361","S433362","S433363","S433364","S433365","S433366","S433367","S433368","S433369","S433370","S433371","S433372","S433373","S433374","S433375","S433376","S433377","S433378","S433379","S433380","S433381","S433382","S433383","S433384","S433385","S433386","S433387","S433388","S433389","S433390","S433391","S433392","S433393","S433394","S433395","S433396","S433397","S433398","S433399","S433400","S433401","S433402","S433403","S433404","S433405","S433406","S433407","S433408","S433409"
Abies alba,TRSH,microsporophyll,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa/Betula,TRSH,leaf scar,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Asteraceae,UPHE,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula (shrub),TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
Betula cf. B. humilis,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,,
Betula pendula/B. pubescens,TRSH,seed,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,2,1,2,,4,4,,5,1,1,,1,1,1,2,,,,1
Betula pubescens,TRSH,catkin scale,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Betula pubescens,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Betula sp.,TRSH,bud scale,NISP,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
Betula sp.,TRSH,bud,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
