"name","group","element","units","context","S434031","S434032","S434033","S434034","S434035","S434036","S434037","S434038","S434039","S434040","S434041","S434042","S434043","S434044","S434045","S434046","S434047","S434048","S434049"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,3,5,7,9,11,12.5,28,44,78,143,173,207,237,267,277,283,307,323
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,434031,434032,434033,434034,434035,434036,434037,434038,434039,434040,434041,434042,434043,434044,434045,434046,434047,434048,434049
