"name","group","element","units","context","S567723","S567734","S567743","S567749","S567755","S567728","S567738","S567748","S567725","S567732","S567741","S567751","S567726","S567735","S567747","S567729","S567733","S567744","S567754","S567721","S567731","S567740","S567752","S567720","S567730","S567737","S567746","S567722","S567742","S567753","S567724","S567736","S567745","S567727","S567739","S567750"
Chamaepinnularia mediocris,DIAT,valve,NISP,,15,36,2,3,,8,22,6,24,28,3,6,41,27,5,36,30,4,2,12,7,8,9,,25,9,2,16,36,4,3,3,4,26,2,1
Chamaepinnularia muscicola,DIAT,valve,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Chamaepinnularia rhombelliptica,DIAT,valve,NISP,,2,,,,,,1,3,1,1,,1,,2,2,,,,,,,1,,,,,3,,2,,,3,2,,2,
Chamaepinnularia soehrensis,DIAT,valve,NISP,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
Chamaepinnularia spp.,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,1
Cocconeis spp.,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Craticula minusculoides,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Craticula spp.,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Cymbopleura naviculiformis,DIAT,valve,NISP,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Diatoma mesodon,DIAT,valve,NISP,,,,1,1,,,,,,1,1,3,2,,1,,2,,,,1,,3,,2,,1,,2,3,,,,1,1,3
Diatoma spp.,DIAT,valve,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encyonema elginense,DIAT,valve,NISP,,,,1,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,3,,,,,,
Encyonema gaeumannii,DIAT,valve,NISP,,3,6,3,6,16,,6,3,2,4,19,15,1,6,7,3,3,,19,1,4,6,38,,8,12,1,1,7,46,1,2,2,,4,5
Encyonema hebridicum,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Encyonema neogracile,DIAT,valve,NISP,,,1,4,,,,,3,,1,1,5,,,6,,,,6,,,,8,,,2,1,,1,4,,,4,,,6
Encyonema perpusillum,DIAT,valve,NISP,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,1,,
Encyonema silesiacum,DIAT,valve,NISP,,1,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,2
Encyonema spp.,DIAT,valve,NISP,,6,1,5,7,8,2,4,5,,1,9,7,1,1,1,2,1,9,1,4,2,6,5,,,5,2,2,1,3,3,1,,4,1,
Encyonopsis cesatii,DIAT,valve,NISP,,9,1,,,,1,,,1,1,,,,1,,1,,,,9,2,,,,,1,,5,,,1,1,,,,
Encyonopsis spp.,DIAT,valve,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,
Eunotia aff. faba,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Eunotia aff. flexuosa,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Eunotia ambivalens,DIAT,valve,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Eunotia bilunaris,DIAT,valve,NISP,,1,,1,,,1,2,,2,1,,,2,3,,,4,,,,,,,9,1,,,4,5,,4,,,,2,
Eunotia boreoalpina,DIAT,valve,NISP,,,,2,6,3,,,9,,,5,3,,,9,,,2,2,2,,1,2,,,,6,,,2,,,6,,,1
Eunotia cf. E. dorofeyukiae,DIAT,valve,NISP,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Eunotia cf. minor,DIAT,valve,NISP,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eunotia cf. sudetica,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Eunotia diadema,DIAT,valve,NISP,,,,,,,,2,,1,,1,,,,,,2,,,,1,2,1,,,,,,2,,,,,,,
Eunotia dorofeyukiae,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Eunotia exigua s.l.,DIAT,valve,NISP,,22,22,9,2,,25,15,11,16,32,4,7,16,12,9,26,23,4,1,21,22,2,2,116,17,12,2,37,13,1,25,4,7,15,5,11
Eunotia faba,DIAT,valve,NISP,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
Eunotia flexuosa,DIAT,valve,NISP,,,1,1,,1,2,,,,1,,,1,,,,2,,,,1,,,,,1,,,2,,,,,2,1,
Eunotia hexaglyphis,DIAT,valve,NISP,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,
Eunotia iatriaensis,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Eunotia incisa,DIAT,valve,NISP,,15,20,9,9,,25,36,2,42,24,10,10,16,12,4,24,31,10,1,16,30,9,2,40,30,12,3,35,56,4,21,17,4,16,23,4
Eunotia incisadistans,DIAT,valve,NISP,,,,,1,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,9
Eunotia islandica,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Eunotia marvanii,DIAT,valve,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Eunotia microcephala,DIAT,valve,NISP,,1,5,,,,,3,,2,3,,,4,3,,1,1,,,,1,2,,,3,,,1,4,,1,,,3,3,
Eunotia minor,DIAT,valve,NISP,,1,,1,,1,1,,2,1,,1,1,,,2,,,,1,,2,1,3,1,,,5,1,2,5,,,,,5,6
Eunotia minutula,DIAT,valve,NISP,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
Eunotia mucophila,DIAT,valve,NISP,,,3,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,
Eunotia nymanniana,DIAT,valve,NISP,,,1,,,,,2,,,,1,1,,,,1,,,,,,1,2,,1,,,,1,1,,,,,,3
